TEDIS PHARMA CI;;;;;;STATISTIQUES LABORATOIRE PAYS
Votre partenaire Santé;;;;;;PROMO NOVA

CIP;Produit;PFHT;P. Cession HT;Stock;Mode Expéd;En CDE;Nov.-25;Oct.-25;Sep.-25;Aoû.-25;Juil.-25;Juin-25;Qté totale vendue;Date Péremption
8264359;SONDE ALIM PED UU 48CM CH6;229;430;0;M;0;0;0;0;0;0;0;0;
8264224;SONDE FOLEY LABELL MIXTE CH14 VERT/1;538;675;9;M;0;25;16;0;0;2;14;57;20291031
8264230;SONDE FOLEY LABELL MIXTE CH16 ORANGE/1;538;678;0;M;0;0;0;0;91;108;186;385;20290331
8264247;SONDE FOLEY LABELL MIXTE CH18 ROUGE/1;538;678;0;M;0;0;0;0;0;0;45;45;
3000000865811;SONDE FOLEY LABELL MIXTE CH20 JAUNE/1;538;679;45;M;0;4;31;0;0;0;0;35;20291130
30000008658;SONDE FOLEY MIXTE 10ML630ML CH14;538;785;0;M;0;0;0;0;0;0;0;0;
3664666000520;SPARADRAP EXTENSIBLE UBIFIX 10CMX2M B/1;643;935;0;M;0;24;718;10;128;125;58;1063;20260930
8283977;SPARADRAP LABELL PERF 5MX5CM;1154;1676;77;M;0;9;7;1;4;2;8;31;20260430
8276492;SPECULUM STERILE GRAND UU GM/1;361;525;0;M;0;0;0;0;0;0;0;0;
3000000886045;SPECULUM STER UU PM/1;361;525;0;M;0;0;0;0;0;0;0;0;
3000000697122;TENSIOMETRE BRAS LABELL/1;11807;17152;0;M;0;0;0;0;0;0;0;0;
8285717;TENSIOMETRE POIGNET LABELL/1;9183;13340;0;M;0;0;6;1;4;7;10;28;
8271951;TEST GROSSESSE UBI TEST BANDELETTES B/20;3345;4855;40;M;0;11;57;0;0;4;26;98;20270531
3000000412831;TEST GROSSESSE UBI TEST MIDSTREAM B/1;669;971;49;M;0;25;42;0;0;0;53;120;20271130
8238675;THERMOMETRE DIGITAL LABELL/1;1128;1646;0;M;0;0;0;0;0;41;47;88;
8238646;THERMOM LABELL MED AD SS ET/1 REF THER133;1128;1720;0;M;0;0;0;0;0;0;0;0;
8040252;TRANSFUSEUR LABELL SACH/1;249;362;0;M;0;18;372;0;0;88;228;706;20271231
BANDE_0150;BANDE OUATE SYNTH 2,7MX7,5CM;380;550;0;M;0;0;0;0;0;0;0;0;
3000000105771;SPECULUM VAGIN BALISA MED /1;327;500;0;L;0;0;0;0;0;0;0;0;
8054001;ACIDE ACETYLSAL UBI 500MG CP 100 B/10;4591;6670;0;M;0;0;0;0;0;0;0;0;
1482101;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;899;1306;0;M;0;0;0;0;0;0;0;0;
8255745;BANDE PLATRE LABELL 2MX15CM;433;630;0;M;0;0;0;0;0;0;0;0;
8010185;BIOFAR 12 VIT 12 MINER CP EFF B20;1614;2742;-33;M;0;377;1783;1596;1876;2525;1953;10110;
8043144;BIOFAR MULTIVIT 12 FLAVO CPR EFF T/20;1305;1895;0;M;0;72;202;208;146;291;188;1107;20280228
8054260;COTRIMOXAZOL UBI 480MG/5ML PDR SUSP100ML;630;915;0;M;0;0;280;0;0;0;107;387;
8214806;EPICRAN 5/10 25G ORAN LABELL/1;6881;105;0;M;0;0;0;0;0;0;0;0;
8266602;FIL RESORB  N°00 B12;7540;9050;0;L;0;0;0;0;0;0;0;0;
FILRES_0010;FIL RESORB  N°01 B12;7540;9050;0;L;0;0;0;0;0;0;0;0;
8054478;OXACILLINE UBI 1G PDRE SOL INJ;665;970;0;M;0;0;0;0;0;0;0;0;
8054455;OXACILLINE UBI 250MG/5ML SP F/;590;860;0;M;0;0;0;0;0;0;0;0;
8054136;OXACILLINE UBI 500MG GEL 10 BL;13119;19060;0;M;0;0;0;0;0;0;0;0;
8264342;SONDE ALIM PED UU 48CM CH4;229;345;0;M;0;0;0;0;0;0;0;0;
8099481;ALBENDAZOLE UBI 400MG CPR 50BL1;2492;3620;90;M;0;160;221;0;0;0;0;381;20271231
8054194;AMOXICILLINE UBI 125MG PDRE SUSP F/60ML;361;524;0;M;0;0;396;0;0;0;147;543;
8054024;AMOXICILLINE UBI 500MG GEL 10 BL 12;4592;6015;2296;M;0;549;724;0;0;0;1089;2362;20270831
8054231;AMOXICILLIN UBI 250MG/5ML PDR SUSP F60ML;453;658;0;M;0;0;0;0;198;619;571;1388;
8054461;AMPICILLINE UBI 1G PDRE SOL INJ 7ML B/50;8199;11911;0;M;0;12;3;11;8;15;20;69;
8099475;ARTEMETHER UBI 40MG IM AMP INJ B/10;3936;5718;0;M;0;0;2;18;10;22;13;65;
8099452;ARTEMETHER UBI 80MG AMP INJ B/10;4723;6861;8;M;0;0;31;26;42;28;20;147;20280831
8054484;BENZATHINE BENZYLPENI UBI 2,4MUI IM B/1;525;763;0;M;0;194;1260;0;0;575;739;2768;
8054515;CIPROFLOXACINE UBI 100MG SOL INJ F/50ML;656;953;95;M;0;179;426;0;0;56;298;959;20271231
8054171;CIPROFLOXACINE UBI 750MG CPR 10 BL 10;5510;8004;3;M;0;17;44;0;0;0;5;66;20271031
17002696;CLOTRIMAZOLE IG 200MG OVUL B/3;1128;1640;0;M;0;0;0;0;0;0;0;0;
1455211;CLOTRIMAZOLE UBI 1% CR T/20G B/12;5904;8577;0;M;0;8;45;0;0;0;2;55;20270930
8054248;COTRIMOXAZOLE FORT UBI 960MG CPR 10BL10;3280;4765;0;M;0;0;0;11;38;53;35;137;
8054254;COTRIMOXAZOLE UBI 480MG CPR 10BL10;1246;1810;0;M;0;68;109;0;0;0;24;201;20270430
3765631;IBUPROFENE BIOGARAN 400MG CP B/20;558;810;0;M;0;2;56;0;0;0;79;137;20271231
8054047;IBUPROFENE UBI  400MG CPR 10 BL 10;945;1373;0;M;0;0;440;0;0;0;3;443;20270531
8054142;KETOPROFENE UBI 100MG CPR 10 BL 10;2951;4290;0;M;0;0;3;17;6;18;14;58;
1455221;LIDOCAINE UBI 2% SOL INJ F/20ML;282;410;55;M;0;127;276;0;128;438;213;1182;20270630
1455231;LOPERAMIDE UBI 2MG GEL 10 BL 10;1968;2858;0;M;0;0;0;0;1;87;37;125;
8054277;MEBENDAZOLE UBI 100MG/5ML PDRE SUSP/30ML;426;619;152;M;0;10;38;0;0;0;0;48;20270531
8054053;MEBENDAZOLE UBI 100MG CPR 10 BL 6;1062;1543;0;M;0;0;0;0;0;0;0;0;
8054076;METRONIDAZOLE UBI 250MG CPR 100 BL 10;7869;11430;63;M;0;30;51;0;0;0;10;91;20270831
8054509;METRONIDAZOLE UBI 500MG SOL INJ F/100ML;525;762;421;M;0;148;678;0;0;226;519;1571;20261031
8054521;METRONIDAZOL UBI 125MG/5ML PDR SUSP100ML;308;450;0;M;0;0;0;460;748;52;64;1324;20271231
1524231;NYSTATINE UBI 100000UI/ML SUSP BUV F30ML;656;953;0;M;0;0;120;0;0;0;0;120;
8099498;OMEPRAZOLE UBI 20MG CPR 10BL7;4592;6671;109;M;0;5;6;0;0;0;0;11;20261031
8054283;PARACETAMOL UBI 120MG/5ML PDRE SUSP/60ML;394;572;0;M;0;0;0;115;118;127;49;409;
8054082;PARACETAMOL UBI 500MG CPR 100 BL 10;5904;8575;0;M;0;0;0;0;0;0;0;0;
1476781;TRIBIODERM POMMADE 1G SACHETS B/144;7871;11434;0;M;0;0;0;0;0;0;0;0;
