TEDIS PHARMA CI;;;;;;STATISTIQUES LABORATOIRE PAYS
Votre partenaire Santé;;;;;;SONEPROPHAR

CIP;Produit;PFHT;P. Cession HT;Stock;Mode Expéd;En CDE;Nov.-25;Oct.-25;Sep.-25;Aoû.-25;Juil.-25;Juin-25;Qté totale vendue;Date Péremption
6324884;FLUCAZOL 150MG;4985;6932;0;M;0;0;0;0;0;0;0;0;
4719735;FLUCAZOL 150MG PDRE SUSP BUV SACH B/20;4985;6932;0;M;500;0;0;0;0;0;0;0;
6390684;FLUCAZOL 200MG;6166;8574;0;M;0;0;0;0;0;0;0;0;
4807435;FLUCAZOL 200MG PDRE SUSP BUV SACH B/20;6166;8574;0;M;300;0;0;0;0;0;0;0;
8048816;FLUCAZOL 50MG/5ML PDRE SUSP BUV F/60ML;1229;1709;0;M;6600;730;1759;2152;1575;1825;1651;9692;
2291852;FLUOXINE 500MG CPR B/10;1116;1550;159;M;1500;266;472;519;584;358;411;2610;
4845135;FLUOXINE 750MG CPR PELL SEC B/10;1485;2061;0;M;150;0;0;49;11;36;15;111;
3000001238058;FLUOXINE T 500MG/600MG CPR PELL B/10;1179;1655;106;M;500;37;107;235;14;0;0;393;
3000000183335;GASTRICID CPR A MACHER POCH/4PRES/50;15090;20979;128;M;120;29;47;46;47;67;63;299;
8095891;GENTASOL 0,3% COLL F/5ML;555;775;0;M;6800;0;0;0;0;0;2;2;
5013001;IXINE 1ER AGE 40MG/5ML  PDRE SUSP BUV FL/40ML;1310;1824;49;M;100;34;63;54;1;63;57;272;
4898001;IXINE 200MG CPR B/10;1772;2463;33;M;1000;90;221;265;602;0;265;1443;
5079601;IXINE ENFANT 100MG/5ML PDRE SUSP BUV FL/40ML;1640;2280;120;M;400;20;14;43;145;0;120;342;
2036137;MALOXINE CPR B/50 BL/3;15745;21894;0;M;300;0;61;101;66;65;70;363;
8040683;METRONIDAZOL QTPROGEN 125MG/5ML BUV100ML;531;738;1914;M;10000;1339;2501;3661;2117;3600;2313;15531;
8040677;METRONIDAZOLE 500MG CPR B/50 BLISTER X10;10492;14589;342;M;2010;339;650;716;590;0;561;2856;
8254734;MICOZAL 2% CR T/15G;843;1162;285;M;2000;324;749;670;605;524;665;3537;
8074021;NEOMDEXSOL COLL F/5ML;531;738;0;M;4800;0;0;0;0;0;6;6;
6194104;PREGABANEURINE 75MG GEL B/30;3675;5110;74;M;135;32;59;58;52;30;46;277;
3000000626078;PROSTALEN LP 10MG CPR B/30;3936;5473;0;M;1500;0;50;490;459;1;277;1277;
2275066;TIMOSOL 0,5% COLL F/5ML;531;738;0;M;4400;0;0;0;0;0;0;0;
2262916;TINAZOL COMP B/4;599;834;129;M;2000;140;279;698;163;464;367;2111;
3000000628065;VERZOL 4% SUSP BUV SACHET B/20;9183;12769;29;M;100;-7;71;22;39;32;42;199;
2026179;VERZOL 400MG CPR B/1;461;640;2151;M;14000;2247;5690;4863;4201;958;4957;22916;
2029640;VERZOL 400MG/10ML SUSP BUV F/10ML;461;641;1246;M;9200;2343;3236;4104;1779;4592;3239;19293;
8043428;CAPCAINE 2% SOL INJ F/30ML;420;583;0;L;0;0;0;0;0;0;0;0;
3000000811917;CAPSULIDE PLUS 500MG/100MG CPR B/10;1438;2000;0;M;600;0;0;0;75;144;115;334;
3000000394175;DIARZIL 2MG/125MG CPR SEC B/12;756;1051;0;M;0;0;0;0;0;0;0;0;
8040625;MEBENDAZOLE QT PROGEN 100MG CPR 50BL6;4920;6841;0;M;0;0;0;0;0;0;0;0;
8040631;MEBENDAZOLE QT PROGEN 100MG/5ML BUV30ML;315;437;0;M;0;0;0;0;0;0;0;0;
2264766;MICOZAL 200MG CPR B/10;1541;2142;0;M;0;0;0;0;0;0;0;0;
