codeArticle;libelleArticle;prix;stock;commande;venteMoisM0;venteMoisM1;venteMoisM2;venteMoisM3;venteMoyM3;venteMoyM12;
2478055;JERSEY TUB LABELL ECRU 5MX15CM;2912.0;20;0;0;0;5;6;1;3;
2481041;SPARADRAP EXT UBIFIX 10CMX2M;643.0;266;60;13;48;42;70;34;49;
2482775;BAND ADH ELAS UBIPLAST 8CMX2M5;1686.0;72;0;0;3;3;0;2;3;
2482777;SER INS UBI ONE 100 1ML BT 120;5674.0;88;192;21;51;54;75;42;47;
2486106;CLOTRIMAZ UBI 200MG CPR VAG 30;7544.0;242;60;8;21;0;0;9;2;
2486108;DESLORAT UBI 0MG5 SOL BUV 60ML;1082.0;928;0;19;65;10;0;31;7;
2486109;ESOMEPRAZOLE UBI 40MG CPR B100;6068.0;249;0;2;12;1;0;5;1;
2486214;ACID FUSID UBI 2PC CREM TB 15G;715.0;1018;0;120;311;364;208;265;87;
8007065;GANT CHIRUR STER LABEL T7,5/1;250.0;4856;6000;513;2081;2559;2473;1717;1960;
8010185;BIOFAR MULTVT MNRX CPR EFF B20;1666.0;17125;7920;2348;5949;6067;4973;4788;4709;
8025689;BAND CREP LABELL CELLO 4MX5CM;230.0;749;900;93;285;425;345;267;273;
8025695;BAND GAZ LABEL RAF 3MX 7CM B10;1227.0;801;480;71;240;351;264;220;201;
8031767;BIOFAR VIT C  500 CPR EFF  B20;1379.0;1;240;37;222;270;227;176;189;
8031773;BIOFAR CALCIUM D3 CPR EFF B20;1359.0;866;1200;129;455;345;408;309;382;
8031796;BIOFAR MAGNES B6B2 CPR EFF B20;1358.0;2401;1440;282;760;727;765;589;706;
8031804;BIOFAR MULTVIT KID CPR EFF B20;1358.0;157;288;71;135;121;88;109;107;
8031810;BIOFAR VIT ACE SEZN CPR EFF 20;1633.0;3924;2592;330;741;37;1855;369;1020;
8031827;BIOFAR FER A FOLIQ CPR EFF B20;1345.0;81;288;54;137;157;181;116;158;
8040252;TRANSFUSEUR LABELL SACH /1;249.0;289;1380;242;583;351;274;392;315;
8043144;BIOFAR MULTV12 FLAV CPR EFF 20;1384.0;882;6408;627;1583;1684;1328;1298;1249;
8043150;BIOFAR POTAS MAGNE CPR EFF B20;1404.0;34;10;31;54;49;56;44;48;
8043167;BIOFAR CALCI+ MAGN CPR EFF B20;1404.0;3299;7824;888;2601;2333;2218;1940;2134;
8043173;BIOFAR COMPLX VITB CPR EFF B20;1397.0;557;144;61;145;140;109;115;117;
8043196;BIOFAR VIT C 1000 CPR EFF  B20;1469.0;751;2400;1687;3966;4029;3301;3227;2737;
8043204;BIOFAR ZINC VIT C CPR EFF TB20;1561.0;362;600;117;227;347;235;230;252;
8043210;BIOFAR CHROME ORGA CPR EFF B20;1568.0;20;144;8;107;81;101;65;70;
8054024;AMOXICIL UBI GELU 500MG BT120;3936.0;11910;10000;1761;4363;5319;4498;3814;4580;
8054030;AMPICILLIN UBI GELU 500MG B120;3936.0;0;216;1;39;82;44;40;50;
8054053;MEBENDAZOLE UBI CPR 100MG BT60;1063.0;828;940;105;314;431;286;283;316;
8054076;METRONID UBI CPR 250MG BT1000;7871.0;247;0;7;39;32;25;26;49;
8054082;PARACETAMOL UBI CPR 500MGX1000;5576.0;5069;2400;575;1620;1919;1800;1371;1822;
8054142;KETOPROFENE UBI CPR 100MG B100;2952.0;33;80;7;37;18;9;20;15;
8054171;CIPROFLOXACINE UBI CPR 750MG B;4592.0;1638;1280;171;535;464;400;390;479;
8054194;AMOXICIL UBI SUSP BUV 125MG 60;361.0;9393;8784;1402;3608;4873;2754;3294;3378;
8054231;AMOXICIL UBI SUSP BUV 250MG 60;453.0;5796;16632;2366;5327;5840;3251;4511;3481;
8054248;COTRIMOXAZ UBI CPR 960MG 10X10;3280.0;920;2415;297;684;741;745;574;548;
8054254;COTRIMOXAZ UBI CPR 480MG 10X10;1246.0;3878;37000;2094;7416;7827;7236;5779;5026;
8054260;COTRIMOXAZ UBI SP 480MG/5ML FL;525.0;745;11030;509;1624;1979;1724;1370;1082;
8054277;MEBENDAZOLE UBI SUSP BUV 100MG;426.0;742;400;93;193;140;121;142;163;
8054283;PARACETAMOL UBI SP 120MG/5ML F;394.0;418;4020;312;1505;1537;726;1118;534;
8054461;AMPICILLINE UBI 1G SOL INJ B50;8199.0;593;2220;401;766;666;389;611;471;
8054484;BENZYLPEN UBI AMP 2MUI4 BT 1;525.0;439;640;40;249;163;150;150;175;
8054509;METRONID UBI SOL INJ 500MG 100;525.0;22208;4800;1110;3845;3847;4169;2934;4949;
8054515;CIPROFLOX UBI 100MG INJ FL50ML;656.0;1398;6480;946;3492;2262;1061;2233;1557;
8054521;METRONIDAZ SUSP 125MG    100ML;308.0;0;7210;0;874;1878;1770;917;721;
8099469;ARTEMETHER UBI SOL INJ 20MG B10;2624.0;0;10;0;0;0;0;0;0;
8099475;ARTEMETHER UBI SOL INJ 40MG B10;3936.0;3;0;2;1;4;3;2;3;
8099481;ALBENDAZOLE UBI CPR 400MG BT50;3555.0;752;1792;292;1146;685;443;707;530;
8099498;OMEPRAZOLE UBI CPR 20MG 10X7;4592.0;0;240;0;0;0;0;0;0;
8099512;DICLOFENAC UBI SOL INJ 75MG B100;6560.0;6;846;85;282;119;126;162;117;
8204736;BAND CREP LABELL CELLO 4MX7CM;315.0;988;2400;145;562;666;580;457;497;
8204759;BAND CREP LABELL CELLO 4MX15CM;623.0;161;1500;62;369;313;253;248;188;
8204794;BANDE CREP LABELL ETUI 4MX 5CM;269.0;664;540;47;224;292;213;187;217;
8204802;BANDE CREP LABELL ETUI 4MX 7CM;348.0;988;2400;176;633;852;510;553;558;
8204819;BANDE CREP LABELL ETUI 4MX10CM;472.0;1709;3180;177;1152;928;1043;752;731;
8204831;BANDE CREP LABELL ETUI 4MX20CM;997.0;651;0;57;83;90;155;76;125;
8204854;BANDE NYL EXT LABEL CELLO 3MX5;66.0;54;372;60;31;104;78;65;53;
8204860;BAND EXT LABELL CELLO 3MX7CM;92.0;393;240;86;152;48;10;95;56;
8204877;BAND EXT LABELL CELLO 3MX10CM;112.0;209;160;108;71;107;141;95;74;
8204883;BAND GAZ LABEL RAF 3MX 5CM B10;1115.0;307;240;17;106;66;134;63;86;
8204908;BAND GAZ LABEL RAF 3MX10CM B10;1384.0;1017;1211;160;530;440;629;376;417;
8211972;COMPRES PUR LABELL 40X40 BT10;459.0;789;2460;301;701;880;491;627;582;
8211989;COMPRES STE LABELL 20X20 BT10;308.0;1905;6000;540;1714;1617;1344;1290;1223;
8211995;COMPRES STE LABELL 30X30 BT10;446.0;2403;5640;681;1739;1955;1682;1458;1411;
8212003;COMPRES STE LABELL 40X40 BT10;696.0;11252;16800;1797;5141;5899;6003;4279;4197;
8212032;COMPRES PUR LABELL 40X40 BT100;3732.0;214;48;10;19;22;18;17;36;
8212569;COTON CODEX HYDRO LABELL 50G;262.0;8515;11600;1099;3206;4284;3751;2863;3275;
8212575;COTON CODEX HYDRO LABELL 100GR;512.0;2230;5850;521;1182;1639;1535;1114;1341;
8212606;COTON CODEX HYDRO LABELL 1KG;4690.0;77;24;7;21;22;10;16;11;
8214806;EPICRAN 5/10 25G ORANGE LABEL;72.0;218;250;98;56;165;28;106;82;
8218017;GANT CHIRUR STER LABELL T8/1;249.0;1548;4400;141;1073;1157;1236;790;833;
8238675;THERMOM LABELL DIGITAL BT1;1128.0;293;1350;360;303;639;479;434;374;
8245617;BICARBONATE SOD LABELL BT250GR;459.0;672;1640;172;514;465;562;383;492;
8252037;GANT CHIRUR STER LABELL T7/1;249.0;1023;2000;175;755;421;0;450;344;
8252793;COTON CODEX HYDRO LABELL 25;197.0;2108;6000;494;1479;1935;1363;1302;1130;
8255691;GANT EXAM LATEX LABELL 6/7 100;3280.0;99;20;2;16;21;21;13;19;
8255716;GANT EXAM LATEX LABELL 7/8 100;3280.0;726;120;31;117;144;175;97;159;
8255722;GANT EXAM LATEX LABELL 8/9 100;3280.0;143;80;11;13;49;67;24;35;
8255768;COLLEC URINE LABELL 2L SACHETBT1;276.0;369;1850;373;736;468;284;525;372;
8256667;COMPRES PUR LABELL 20X20 BT10;171.0;509;240;41;129;114;201;94;155;
8264230;SOND FOLEY LABELL MIXTE CH16;538.0;122;620;72;194;165;162;143;130;
8264247;SOND FOLEY LABELL MIXTE CH18;538.0;137;600;89;150;129;140;122;128;
8264253;SOND FOLEY LABELL MIXTE CH20;538.0;102;100;9;43;31;26;27;33;
8275989;SERING UBI ONE 3P 5ML AIG B100;3824.0;102;108;20;37;55;23;37;38;
8276517;CATHETER UBIONE IV 16G GRIS 1;334.0;80;100;22;2;61;17;28;20;
8276523;CATH IV 18G 45MM VERT/1;269.0;315;300;43;243;163;118;149;118;
8276546;CATH IV 20G 32MM ROSE/1;269.0;415;2200;190;573;722;287;495;351;
8285717;TENSIOMETRE POIGNET LABELL BT1;9183.0;41;120;16;33;33;29;27;31;
8291178;SPARADRAP LABELL PERF 5MX18CM;3319.0;0;144;0;13;23;30;12;12;
8291391;SERING EMB GAVAGE 60ML BT1;210.0;1219;3400;291;887;649;1048;609;713;
8356742;MEBENDAZOL PN SUSP 100MG 30ML;190.0;0;300;0;0;0;0;0;41;
8558411;CLAIRISSIM SERUM ECL UBI 30ML;985.0;91;100;5;40;43;25;29;35;
8558434;CLAIRISSIM CREM ECLAIRC UBI 50;1286.0;74;48;1;23;17;16;13;20;
8558440;CLAIRISSIM LAIT ECL UBI 500ML;2510.0;187;176;14;63;44;43;40;55;
8558470;CLAIRISSIM LOTION ECL UBI 200;1640.0;38;0;1;11;6;2;6;7;
8572055;CATH IV 22G 25MM BLEU/1;269.0;408;5000;844;2048;1994;1488;1628;1141;
8574232;CATH IV 24G 19MM JAUNE/1;269.0;621;3000;387;1041;925;767;784;604;
8596736;SERING UBI ONE 3P 10ML AIG 100;5628.0;80;300;33;79;86;69;66;70;
8598860;CATH SAFETY UBIONE IV 24G JAU1;335.0;110;50;17;25;41;26;27;13;
8598876;CATH SAFETY UBIONE IV 22G BLE1;335.0;23;356;14;102;61;79;59;41;
8598882;CATH SAFETY UBIONE IV 20G ROS1;335.0;20;100;0;4;22;69;8;13;
